172.10.14.144 - - [07/Feb/2025:10:17:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Tabprev.png HTTP/1.1" 200 970
172.10.14.144 - - [07/Feb/2025:10:17:25 +0900] "GET /edupack_egov/tobe_shop/_resource_/_theme_/blue/images/btn_WF_Tabnext.png HTTP/1.1" 200 970
172.10.14.144 - - [07/Feb/2025:10:17:26 +0900] "GET /edupack_egov/tobe_shop/form/Form_viewOne.xfdl.js HTTP/1.1" 404 1041
172.10.14.144 - - [07/Feb/2025:10:17:27 +0900] "GET /edupack_egov/tobe_shop/form/Form_viewOne.xfdl.js HTTP/1.1" 404 1041
172.10.14.144 - - [07/Feb/2025:10:17:28 +0900] "GET /edupack_egov/tobe_shop/form/Form_viewOne.xfdl.js HTTP/1.1" 404 1041
172.10.14.144 - - [07/Feb/2025:10:17:28 +0900] "GET /edupack_egov/tobe_shop/form/Form_viewOne.xfdl.js HTTP/1.1" 404 1041
172.10.14.144 - - [07/Feb/2025:10:17:29 +0900] "GET /edupack_egov/tobe_shop/form/Form_viewProSale.xfdl.js HTTP/1.1" 200 9783
172.10.14.144 - - [07/Feb/2025:10:18:07 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3869
172.10.14.144 - - [07/Feb/2025:10:18:07 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 2972
172.10.14.144 - - [07/Feb/2025:10:18:08 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 7669
172.10.14.144 - - [07/Feb/2025:10:18:08 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [07/Feb/2025:10:18:17 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3869
172.10.14.144 - - [07/Feb/2025:10:18:17 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 2972
172.10.14.144 - - [07/Feb/2025:10:18:17 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 7669
172.10.14.144 - - [07/Feb/2025:10:18:17 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [07/Feb/2025:10:18:21 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [07/Feb/2025:10:18:21 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 676
172.10.14.144 - - [07/Feb/2025:10:18:21 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 757
172.10.14.144 - - [07/Feb/2025:10:19:15 +0900] "GET /edupack_egov/tobe_shop/start.json HTTP/1.1" 200 2073
172.10.14.144 - - [07/Feb/2025:10:19:15 +0900] "GET /edupack_egov/tobe_shop/environment.xml.js HTTP/1.1" 200 5125
172.10.14.144 - - [07/Feb/2025:10:19:15 +0900] "GET /edupack_egov/tobe_shop/Application_Desktop.xadl.js HTTP/1.1" 200 6822
172.10.14.144 - - [07/Feb/2025:10:19:15 +0900] "GET /edupack_egov/tobe_shop/form/Form_Top.xfdl.js HTTP/1.1" 200 12103
